105	2.3008912157996778e-02	1.2683026119933232e-02	1.1165119748376123e-02
106	2.3081646635642404e-02	1.2753998189964803e-02	1.1166493948768652e-02
107	2.3153784133971893e-02	1.2825757434622354e-02	1.1167815243761835e-02
108	2.3225331768712335e-02	1.2898295974350757e-02	1.1169076364147150e-02
109	2.3296298957014242e-02	1.2971605184432961e-02	1.1170276102739267e-02
110	2.3366696358909467e-02	1.3045677780634455e-02	1.1171418878265220e-02
111	2.3436538586125329e-02	1.3120508916194450e-02	1.1172504720713789e-02
112	2.3505840930794594e-02	1.3196094647537739e-02	1.1173527356514022e-02
113	2.3574615727331973e-02	1.3272426695388959e-02	1.1174488271386250e-02
114	2.3642877815447591e-02	1.3349489149467464e-02	1.1175387161721064e-02
115	2.3710634957252657e-02	1.3427259933929601e-02	1.1176210571904958e-02
116	2.3777892522453124e-02	1.3505719600931774e-02	1.1176953701895165e-02
117	2.3844661933939384e-02	1.3584852310941108e-02	1.1177619173380594e-02
118	2.3910958780511148e-02	1.3664645318310981e-02	1.1178208773456499e-02
119	2.3976798249194492e-02	1.3745082519892805e-02	1.1178730097679203e-02
120	2.4042191999594259e-02	1.3826150581456309e-02	1.1179188644391389e-02
121	2.4107153708179965e-02	1.3907835942098514e-02	1.1179588186823347e-02
122	2.4171700285966463e-02	1.3990128085931841e-02	1.1179932258290129e-02
123	2.4235845346803991e-02	1.4073015918421987e-02	1.1180218700066902e-02
124	2.4299597279835786e-02	1.4156480798332182e-02	1.1180447157384031e-02
125	2.4362963107435652e-02	1.4240504024807593e-02	1.1180622119800414e-02
126	2.4425945412555782e-02	1.4325067126076129e-02	1.1180748034903510e-02
127	2.4488550729857783e-02	1.4410157801266109e-02	1.1180826890403317e-02
128	2.4550791813626627e-02	1.4495770839595497e-02	1.1180868127302497e-02
129	2.4612683401443906e-02	1.4581899002563195e-02	1.1180881230367671e-02
130	2.4674242958557607e-02	1.4668533725559313e-02	1.1180870445233420e-02
131	2.4735483393375991e-02	1.4755670964645820e-02	1.1180842061560045e-02
132	2.4796419409573969e-02	1.4843298526110826e-02	1.1180802178479863e-02
133	2.4857064518494544e-02	1.4931401414953567e-02	1.1180753574881219e-02
134	2.4917432127034563e-02	1.5019968634126062e-02	1.1180698988123594e-02
135	2.4977535281398729e-02	1.5108988389823465e-02	1.1180647081056478e-02
136	2.5037382337078185e-02	1.5198453962910047e-02	1.1180605191192350e-02
137	2.5096980730162418e-02	1.5288357917688216e-02	1.1180571684113415e-02
138	2.5156341458683330e-02	1.5378686580574509e-02	1.1180541624681779e-02
139	2.5215483314912298e-02	1.5469430454343718e-02	1.1180512515377865e-02
140	2.5274421992874427e-02	1.5560577895530947e-02	1.1180483387083414e-02
141	2.5333167429296876e-02	1.5652114410597145e-02	1.1180442622434528e-02
142	2.5391731144783151e-02	1.5744031955304102e-02	1.1180382087675413e-02
143	2.5450123878069868e-02	1.5836325301706523e-02	1.1180304094875786e-02
144	2.5508351450577029e-02	1.5928987665496327e-02	1.1180206397587947e-02
145	2.5566423718482830e-02	1.6022006061692583e-02	1.1180086786189590e-02
146	2.5624354649272579e-02	1.6115363880751788e-02	1.1179949152662436e-02
147	2.5682153660771062e-02	1.6209040832503709e-02	1.1179795454861521e-02
148	2.5739830921628362e-02	1.6303021455203452e-02	1.1179624102979768e-02
149	2.5797398997467243e-02	1.6397290660973906e-02	1.1179434733024733e-02
150	2.5854870327746721e-02	1.6491823839870110e-02	1.1179225738055370e-02
151	2.5912264250008640e-02	1.6586599443011586e-02	1.1178994517863918e-02
152	2.5969602659962135e-02	1.6681611690705450e-02	1.1178742524379406e-02
153	2.6026892574073205e-02	1.6776849566472650e-02	1.1178474920944053e-02
154	2.6084140862506794e-02	1.6872288619114894e-02	1.1178197614202478e-02
155	2.6141363159262729e-02	1.6967908161137031e-02	1.1177919692721821e-02
156	2.6198575215427882e-02	1.7063688668157207e-02	1.1177640422422572e-02
157	2.6255789705574410e-02	1.7159619635532052e-02	1.1177354939703755e-02
158	2.6313013331399973e-02	1.7255690331409990e-02	1.1177059109045324e-02
159	2.6370246630789237e-02	1.7351879397173673e-02	1.1176748128282579e-02
160	2.6427488583859366e-02	1.7448166317338195e-02	1.1176422425787242e-02
161	2.6484748842127027e-02	1.7544532873276248e-02	1.1176086665507391e-02
162	2.6542036673824921e-02	1.7640966068357460e-02	1.1175747458540157e-02
163	2.6599355212389032e-02	1.7737457535422999e-02	1.1175404376519682e-02
164	2.6656705807337127e-02	1.7833994101103617e-02	1.1175055792481965e-02
165	2.6714094211186489e-02	1.7930565220854833e-02	1.1174702475143079e-02
166	2.6771530232292427e-02	1.8027163782512245e-02	1.1174345809489622e-02
167	2.6829018527949958e-02	1.8123770219088526e-02	1.1173985738876686e-02
168	2.6886555154146185e-02	1.8220365348582290e-02	1.1173614918179369e-02
169	2.6944141617154839e-02	1.8316939017237008e-02	1.1173229480350527e-02
170	2.7001784974519598e-02	1.8413484001625929e-02	1.1172832940227655e-02
171	2.7059479748087513e-02	1.8509989916942502e-02	1.1172427868584682e-02
172	2.7117218743190206e-02	1.8606442855393663e-02	1.1172009426452889e-02
173	2.7175000901852847e-02	1.8702834033209645e-02	1.1171568968282069e-02
174	2.7232826734668758e-02	1.8799150259868072e-02	1.1171107494274655e-02
175	2.7290705399788687e-02	1.8895374287569721e-02	1.1170628811945671e-02
176	2.7348650302439284e-02	1.8991489582083781e-02	1.1170137741370210e-02
177	2.7406666775857319e-02	1.9087484600795044e-02	1.1169637216022732e-02
178	2.7464757752230399e-02	1.9183350915742269e-02	1.1169123036839814e-02
179	2.7522929633567773e-02	1.9279075236945876e-02	1.1168592668979880e-02
180	2.7581185038310595e-02	1.9374649161107857e-02	1.1168044484693085e-02
181	2.7639527196663717e-02	1.9470073546213339e-02	1.1167477982410199e-02
182	2.7697963812920931e-02	1.9565348302120329e-02	1.1166893789218351e-02
183	2.7756495451413503e-02	1.9660460748779651e-02	1.1166293309203698e-02
184	2.7815119985077380e-02	1.9755400049954474e-02	1.1165678136246937e-02
185	2.7873834668067629e-02	1.9850163795082358e-02	1.1165048811892866e-02
186	2.7932641335999261e-02	1.9944753025261008e-02	1.1164408859793751e-02
187	2.7991541325203206e-02	2.0039168101786440e-02	1.1163758405270648e-02
188	2.8050531142152085e-02	2.0133406999622225e-02	1.1163083976838774e-02
189	2.8109614101139303e-02	2.0227465015299994e-02	1.1162376257036630e-02
190	2.8168789839341114e-02	2.0321337559957287e-02	1.1161632715598174e-02
191	2.8228051562381219e-02	2.0415021668303952e-02	1.1160844788575432e-02
192	2.8287393179140006e-02	2.0508511320797451e-02	1.1160011983345861e-02
193	2.8346810570028060e-02	2.0601798460968546e-02	1.1159136004187234e-02
194	2.8406303887470855e-02	2.0694874728812422e-02	1.1158217773366078e-02
195	2.8465878518141075e-02	2.0787727636546717e-02	1.1157258975158952e-02
196	2.8525530527494208e-02	2.0880347526228207e-02	1.1156257858920349e-02
197	2.8585248599605446e-02	2.0972726340060102e-02	1.1155211214377087e-02
198	2.8645025687997153e-02	2.1064858494069548e-02	1.1154119394622818e-02
199	2.8704855499631837e-02	2.1156742641392303e-02	1.1152988872180788e-02
200	2.8764734872196964e-02	2.1248375517971364e-02	1.1151814988590809e-02
201	2.8824660401712724e-02	2.1339752762961250e-02	1.1150593571053882e-02
202	2.8884633060952639e-02	2.1430870236606205e-02	1.1149324223672066e-02
203	2.8944648791095026e-02	2.1521728346225979e-02	1.1148000902414867e-02
204	2.9004699680419167e-02	2.1612326858668440e-02	1.1146622202187569e-02
205	2.9064783203011313e-02	2.1702665153107006e-02	1.1145189610599331e-02
206	2.9124893133250732e-02	2.1792744385966439e-02	1.1143699055262699e-02
207	2.9185022939236641e-02	2.1882565047218843e-02	1.1142148345390623e-02
208	2.9245160413031362e-02	2.1972134375467460e-02	1.1140540968984014e-02
209	2.9305294533070025e-02	2.2061461485929478e-02	1.1138882436076325e-02
210	2.9365417105906354e-02	2.2150550115324883e-02	1.1137171344325444e-02
211	2.9425519945353119e-02	2.2239403519871213e-02	1.1135398641421417e-02
212	2.9485591158403372e-02	2.2328028482303645e-02	1.1133552473445925e-02
213	2.9545613075713704e-02	2.2416428193779345e-02	1.1131625693128843e-02
214	2.9605580425854882e-02	2.2504595253040029e-02	1.1129621194177325e-02
215	2.9665487585434646e-02	2.2592521276087033e-02	1.1127538892054782e-02
216	2.9725326446797120e-02	2.2680207070885167e-02	1.1125374086170861e-02
217	2.9785094573808509e-02	2.2767656861899979e-02	1.1123125190518231e-02
218	2.9844786798463620e-02	2.2854869423879823e-02	1.1120794426863121e-02
219	2.9904395234704118e-02	2.2941842746567652e-02	1.1118381208477957e-02
220	2.9963904217026036e-02	2.3028571827425574e-02	1.1115880240614981e-02
221	3.0023294663293273e-02	2.3115056726075247e-02	1.1113283541797138e-02
222	3.0082559165065255e-02	2.3201296655839178e-02	1.1110588503852133e-02
223	3.0141693623529083e-02	2.3287287286575614e-02	1.1107795647265790e-02
224	3.0200687503067175e-02	2.3373029905964973e-02	1.1104901740620969e-02
225	3.0259530831769511e-02	2.3458528735542883e-02	1.1101902123039280e-02
226	3.0318216642161916e-02	2.3543785969348918e-02	1.1098794258943541e-02
227	3.0376738073087734e-02	2.3628805002796991e-02	1.1095580991807616e-02
228	3.0435082188817016e-02	2.3713588596987564e-02	1.1092274577169287e-02
229	3.0493238892431874e-02	2.3798137962607782e-02	1.1088884047288425e-02
230	3.0551197996784435e-02	2.3882460967029218e-02	1.1085410093719423e-02
231	3.0608951014800784e-02	2.3966565204936049e-02	1.1081847510681957e-02
232	3.0666487162237188e-02	2.4050450165916910e-02	1.1078192468178434e-02
233	3.0723791226940002e-02	2.4134112181650916e-02	1.1074445400953323e-02
234	3.0780855411002880e-02	2.4217552996943791e-02	1.1070604411686152e-02
235	3.0837671618723864e-02	2.4300785073119259e-02	1.1066663775316666e-02
236	3.0894228616444717e-02	2.4383817176432673e-02	1.1062620092335657e-02
237	3.0950511143177685e-02	2.4466648397274731e-02	1.1058473986484858e-02
238	3.1006505849815128e-02	2.4549279578859915e-02	1.1054222877333410e-02
239	3.1062205789984500e-02	2.4631709325023444e-02	1.1049869245271588e-02
240	3.1117605500116517e-02	2.4713940923726960e-02	1.1045415508893226e-02
241	3.1172691918520630e-02	2.4795987139056810e-02	1.1040858154910287e-02
242	3.1227448521793502e-02	2.4877859882540480e-02	1.1036198205023180e-02
243	3.1281867992135587e-02	2.4959565843859995e-02	1.1031437213990265e-02
244	3.1335949473893183e-02	2.5041104889573181e-02	1.1026571867737534e-02
245	3.1389687844199592e-02	2.5122477827388724e-02	1.1021599990405079e-02
246	3.1443073962935449e-02	2.5203685660115740e-02	1.1016521922128581e-02
247	3.1496100876312300e-02	2.5284727791990331e-02	1.1011341006686635e-02
248	3.1548763023518139e-02	2.5365608822146758e-02	1.1006057205933763e-02
249	3.1601055550184581e-02	2.5446332233932396e-02	1.1000670689559925e-02
250	3.1652968824016740e-02	2.5526899170744112e-02	1.0995187504779881e-02
251	3.1704488518534468e-02	2.5607314486099521e-02	1.0989608274197539e-02
252	3.1755607060926921e-02	2.5687584052609597e-02	1.0983932354768822e-02
253	3.1806317503839714e-02	2.5767711587901334e-02	1.0978163697407147e-02
254	3.1856613663860875e-02	2.5847700090724960e-02	1.0972302283774087e-02
